datasets,cost,pref_idx,reward_cate,reward_lagrange,reward_constraint,reward_linear,welfare_cate,welfare_lagrange,welfare_constraint,welfare_linear,harm_cate,harm_lagrange,harm_constraint,harm_linear,rr_cate,rr_lagrange,rr_constraint,rr_linear,epsilon,std_cate_reward,std_lagrange_reward,std_constraint_reward,std_linear_reward,std_cate_welfare,std_lagrange_welfare,std_constraint_welfare,std_linear_welfare,std_cate_harm,std_lagrange_harm,std_constraint_harm,std_linear_harm,std_epsilon,panelty
ihdp,0.0000,0,563.5000,543.3500,524.8500,563.6000,151.5000,131.3500,112.8500,151.6000,12.0000,8.5500,6.4000,12.2500,46.9583,63.5497,82.0078,46.0082,6.7326,2.3130,23.7493,32.2448,1.0677,2.3130,23.7493,32.2448,1.0677,1.0488,2.4794,2.0591,0.7665,0.4859,225
ihdp,0.0000,1,563.5000,541.3000,519.0500,565.7000,151.5000,129.3000,107.0500,153.7000,12.1500,8.8500,5.4000,10.3500,46.3786,61.1638,96.1204,54.6570,5.3591,1.9105,25.5814,35.0720,1.4177,1.9105,25.5814,35.0720,1.4177,1.1948,2.9202,2.2450,0.8529,0.3474,225
ihdp,0.0000,2,563.0500,543.7000,514.0000,569.0500,151.0500,131.7000,102.0000,157.0500,12.1000,8.7000,5.1000,9.2000,46.5331,62.4943,100.7843,61.8533,4.4749,1.8835,24.5807,34.3555,1.4992,1.8835,24.5807,34.3555,1.4992,0.9434,3.0676,2.3643,1.1225,0.5071,225
ihdp,0.0000,3,563.4500,543.5000,513.3000,570.4000,151.4500,131.5000,101.3000,158.4000,12.2500,9.1500,4.2500,7.7500,45.9959,59.3989,120.7765,73.6000,3.2433,2.0609,21.4091,38.5838,1.4283,2.0609,21.4091,38.5838,1.4283,1.2990,3.1189,1.5772,0.8874,0.2911,225
ihdp,0.0000,4,562.8500,541.5500,516.1000,570.7500,150.8500,129.5500,104.1000,158.7500,12.2000,8.5000,4.2500,7.5000,46.1352,63.7118,121.4353,76.1000,2.6978,2.2198,22.2069,33.9822,1.7854,2.2198,22.2069,33.9822,1.7854,1.2083,2.3345,2.2995,1.3229,0.2044,225
ihdp,0.0000,5,562.7000,543.8500,511.6500,571.1000,150.7000,131.8500,99.6500,159.1000,12.5500,9.9000,3.4500,7.3000,44.8367,54.9343,148.3043,78.2329,2.1049,2.3259,24.0443,35.8096,1.5780,2.3259,24.0443,35.8096,1.5780,1.3592,2.7368,1.6271,1.3454,0.1721,225
ihdp,0.0000,6,562.7500,542.9500,514.7500,572.8500,150.7500,130.9500,102.7500,160.8500,12.0500,9.2000,4.3500,7.0500,46.7012,59.0163,118.3333,81.2553,2.0398,2.2995,24.4509,36.8902,1.4239,2.2995,24.4509,36.8902,1.4239,1.0712,2.6944,1.6815,0.8646,0.1289,225
ihdp,0.0000,7,563.3000,543.3500,508.3500,572.3500,151.3000,131.3500,96.3500,160.3500,12.2500,9.7000,3.1000,6.9500,45.9837,56.0155,163.9839,82.3525,1.6466,1.7059,25.0305,36.3046,2.0069,1.7059,25.0305,36.3046,2.0069,1.3370,2.4104,1.3000,0.6690,0.1084,225
ihdp,0.0000,8,564.2000,543.2000,507.2500,571.0000,152.2000,131.2000,95.2500,159.0000,11.5500,8.5500,3.3500,6.2500,48.8485,63.5322,151.4179,91.3600,1.0651,1.5684,25.0252,38.8174,2.4290,1.5684,25.0252,38.8174,2.4290,1.0235,2.5194,1.7400,0.9421,0.0693,225
ihdp,0.0000,9,563.7000,542.2000,508.2500,437.1500,151.7000,130.2000,96.2500,25.1500,12.0500,9.5500,2.6000,2.3500,46.7801,56.7749,195.4808,186.0213,0.0000,2.3259,24.2870,42.0356,14.5543,2.3259,24.2870,42.0356,14.5543,1.3955,2.3974,1.1576,1.7110,0.0000,225
ihdp,0.0500,0,548.4750,526.9775,506.0075,547.8200,149.7000,126.2000,102.9500,149.0500,8.6000,8.3000,5.0500,9.0000,63.7762,63.4913,100.1995,60.8689,5.0942,1.9365,25.8076,30.7584,1.3925,2.0025,28.2818,33.5089,1.4309,0.9695,3.1321,2.4592,0.6325,0.4765,225
ihdp,0.0500,1,547.4950,528.6450,499.2600,549.7550,148.7000,127.9500,95.5000,150.9500,8.9500,7.6500,4.2500,8.5500,61.1726,69.1039,117.4729,64.2988,3.9709,2.1928,23.6609,31.8052,1.9072,2.2605,25.9913,34.5796,2.0118,0.9734,3.5111,1.6993,0.9206,0.3084,225
ihdp,0.0500,2,548.1425,528.3875,503.3750,554.0350,149.4000,127.7000,99.8500,155.1500,8.7000,8.4500,4.4000,6.9000,63.0049,62.5311,114.4034,80.2949,3.0984,1.4580,25.5937,31.8260,1.9035,1.4967,27.9430,34.3166,1.9564,0.9000,2.8544,1.8815,1.1790,0.2993,225
ihdp,0.0500,3,548.0775,526.0400,501.9525,555.2700,149.3000,125.2500,98.2000,156.3500,9.0000,8.1000,4.0000,5.7500,60.8975,64.9432,125.4881,96.5687,2.4734,1.5523,25.1299,31.8493,1.8384,1.6155,27.3530,34.5479,1.9046,0.7071,2.2338,1.5492,0.7665,0.2016,225
