datasets,cost,pref_idx,reward_cate,reward_lagrange,reward_constraint,reward_linear,welfare_cate,welfare_lagrange,welfare_constraint,welfare_linear,harm_cate,harm_lagrange,harm_constraint,harm_linear,rr_cate,rr_lagrange,rr_constraint,rr_linear,epsilon,std_cate_reward,std_lagrange_reward,std_constraint_reward,std_linear_reward,std_cate_welfare,std_lagrange_welfare,std_constraint_welfare,std_linear_welfare,std_cate_harm,std_lagrange_harm,std_constraint_harm,std_linear_harm,std_epsilon,panelty
ihdp,0.0000,0,562.8500,535.0500,515.7000,563.0500,150.8500,123.0500,103.7000,151.0500,12.1500,6.6000,4.6500,12.3500,46.3251,81.0682,110.9032,45.5911,7.0151,1.8514,15.6604,28.0484,1.7168,1.8514,15.6604,28.0484,1.7168,1.1079,2.6721,2.1512,0.6538,0.6815,225
ihdp,0.0000,1,563.1000,529.8500,514.4500,572.0500,151.1000,117.8500,102.4500,160.0500,12.1500,7.4500,3.7500,8.2500,46.3457,71.1208,137.1867,69.3394,4.7168,1.9723,25.9177,25.0289,1.8296,1.9723,25.9177,25.0289,1.8296,1.0618,2.5588,1.9969,0.6982,0.2735,225
ihdp,0.0000,2,562.3500,531.8000,515.7000,575.8500,150.3500,119.8000,103.7000,163.8500,12.6000,5.8500,3.4500,5.9000,44.6310,90.9060,149.4783,97.6017,3.4855,1.9818,22.3217,27.5084,1.4586,1.9818,22.3217,27.5084,1.4586,0.9695,2.8509,1.7457,0.9950,0.3681,225
ihdp,0.0000,3,563.2000,530.0500,505.0000,577.1500,151.2000,118.0500,93.0000,165.1500,12.3000,6.2000,2.7000,4.3500,45.7886,85.4919,187.0370,132.6782,2.6642,1.5684,19.4177,28.0268,2.1512,1.5684,19.4177,28.0268,2.1512,1.4526,2.2716,1.6155,1.1079,0.2233,225
ihdp,0.0000,4,562.8000,530.6500,506.6000,578.4500,150.8000,118.6500,94.6000,166.4500,12.6500,6.9500,1.6500,3.5000,44.4901,76.3525,307.0303,165.2714,2.1480,1.6000,19.9230,26.1484,1.9615,1.6000,19.9230,26.1484,1.9615,1.0618,3.4128,0.9631,0.5000,0.1335,225
ihdp,0.0000,5,561.9500,530.5000,505.9000,578.5500,149.9500,118.5000,93.9000,166.5500,12.3500,7.3500,2.0500,2.6500,45.5020,72.1769,246.7805,218.3208,2.0025,2.3125,22.9183,27.0276,2.8718,2.3125,22.9183,27.0276,2.8718,1.1079,2.5744,1.6271,0.8529,0.1449,225
ihdp,0.0000,6,563.4000,530.7500,508.6500,580.3500,151.4000,118.7500,96.6500,168.3500,11.9000,6.5500,2.3000,1.5500,47.3445,81.0305,221.1522,374.4194,1.2835,2.0591,23.9664,28.7181,4.1385,2.0591,23.9664,28.7181,4.1385,0.9950,2.4995,1.5843,0.6690,0.1135,225
ihdp,0.0000,7,563.6500,527.1500,507.6500,550.9500,151.6500,115.1500,95.6500,138.9500,11.9500,7.6500,1.7500,0.5000,47.1674,68.9085,290.0857,1101.9000,0.0000,1.8782,26.4675,29.2819,12.0767,1.8782,26.4675,29.2819,12.0767,1.6875,2.8333,1.7854,0.7416,0.0000,225
ihdp,0.0500,0,547.0950,516.2475,502.1200,547.6125,148.2500,114.0500,97.8000,148.8000,8.7500,6.2000,2.8000,8.9000,62.5251,83.2657,179.3286,61.5295,5.1387,1.7021,20.8280,25.2850,1.5719,1.7854,22.6108,27.2555,1.6000,0.7665,2.4617,1.5362,0.6245,0.3490,225
ihdp,0.0500,1,547.8750,515.5850,498.9100,554.2400,149.0500,113.4000,94.0500,155.0500,9.0000,6.6000,2.4500,7.2500,60.8750,78.1189,203.6367,76.4469,3.6036,1.9287,25.3882,24.9319,1.4158,1.9868,27.5670,26.9323,1.4992,0.7746,2.1307,2.2243,0.4330,0.3302,225
ihdp,0.0500,2,547.8075,509.7975,495.9725,561.4050,149.0500,107.1500,90.8000,161.8500,9.2000,6.4000,2.0500,4.5000,59.5443,79.6559,241.9378,124.7567,2.6288,2.3858,28.3609,25.4461,1.9135,2.4182,30.6452,27.3726,1.9307,0.8718,2.3108,1.7741,0.5916,0.1910,225
ihdp,0.0500,3,547.8350,513.8100,496.8150,564.2275,149.0000,111.5500,91.6000,164.1500,8.6000,6.3000,1.7000,3.2500,63.7017,81.5571,292.2441,173.6085,2.2415,2.1486,27.8379,25.6208,1.5508,2.2361,30.1670,27.5125,1.6210,0.7348,2.3896,1.0536,0.5362,0.2057,225
ihdp,0.0500,4,547.9325,514.8700,492.4400,565.2950,149.1500,112.6500,87.0000,164.9500,9.2000,6.5000,2.5000,2.9500,59.5579,79.2108,196.9760,191.6254,1.8244,1.6261,27.0481,27.6339,1.9132,1.7400,29.3194,29.6631,2.0118,0.7483,2.1095,1.3964,0.6690,0.1454,225
ihdp,0.0500,5,547.5125,518.2900,496.4200,565.2950,148.7500,116.3000,91.0000,164.6500,9.2500,6.8000,1.8000,2.2500,59.1905,76.2191,275.7889,251.2422,1.5672,2.0087,22.3232,29.1957,2.9004,2.0218,24.2365,31.3544,3.0704,1.0897,2.8036,1.4353,0.5362,0.0693,225
ihdp,0.0500,6,546.4625,519.0575,498.6300,566.0025,147.5500,117.0000,93.4000,165.0000,9.1000,6.2500,2.3000,1.4000,60.0508,83.0492,216.7957,404.2875,0.9900,1.8505,19.4950,24.6474,3.4033,1.8835,21.2532,26.6353,3.6742,1.0440,2.9644,1.5843,0.5831,0.0820,225
ihdp,0.0500,7,546.9600,509.4000,493.7675,541.9575,148.1500,106.9500,87.9500,138.7000,9.1000,7.2500,1.8500,0.2000,60.1055,70.2621,266.9014,2709.7875,0.0000,1.9348,28.2978,26.4978,9.8299,2.0069,30.6276,28.4807,10.4408,0.8888,2.2995,1.4239,0.4000,0.0000,225
ihdp,0.1000,0,530.7500,503.0650,486.8500,530.5600,142.3500,109.0500,88.1000,141.6000,8.2000,5.2000,2.0500,7.9000,64.7256,96.7433,237.4878,67.1595,3.4666,2.1477,23.8609,25.0263,1.2464,2.2422,27.9007,29.0067,1.3191,0.7483,2.3791,1.3955,0.3000,0.4038,225
ihdp,0.1000,1,530.4800,499.1350,484.5150,538.4300,142.0500,104.6000,85.2000,149.1500,8.1500,5.0000,2.2500,4.4500,65.0896,99.8270,215.3400,120.9955,2.6455,1.9974,27.3570,25.6748,2.1114,2.1789,31.7591,29.7264,2.2644,0.7263,2.0976,1.2600,0.8047,0.2288,225
ihdp,0.1000,2,531.2700,499.5850,488.8050,543.0850,142.7500,105.2000,90.1000,153.2000,8.0000,5.6000,2.1500,3.4500,66.4087,89.2116,227.3512,157.4159,2.1782,1.8496,24.4932,24.4511,2.1334,2.0218,29.0079,28.3582,2.2271,0.8367,2.4166,1.8241,0.5895,0.2317,225
ihdp,0.1000,3,530.3300,502.6550,488.5700,546.3600,141.7500,108.6500,89.4500,156.3500,8.1000,5.6000,2.2000,3.2500,65.4728,89.7598,222.0773,168.1108,1.6954,1.8447,20.7169,24.5846,2.4036,2.0463,24.5627,28.7027,2.7618,0.5385,2.8355,1.6000,0.6982,0.1054,225
ihdp,0.1000,4,531.0350,503.7450,487.7600,549.2700,142.6000,110.1500,88.8000,159.2500,7.7500,5.4000,2.3000,2.7500,68.5206,93.2861,212.0696,199.7345,1.6034,2.0943,23.2028,24.6347,2.7439,2.4372,27.1003,28.6768,3.0802,0.4330,2.0833,1.5199,0.5362,0.0951,225
ihdp,0.1000,5,530.1100,502.5200,486.0000,549.8900,141.4000,108.6500,86.6000,159.4000,7.9500,5.7500,1.9500,1.8500,66.6805,87.3948,249.2308,297.2378,1.2707,1.4563,24.3680,25.4673,3.2451,1.6553,28.7789,29.6874,3.5270,0.3841,2.2108,1.3955,0.4770,0.0891,225
ihdp,0.1000,6,530.4600,502.4750,478.2950,549.4400,141.9000,108.6500,77.5000,158.2000,8.0000,5.7000,1.7500,1.4000,66.3075,88.1535,273.3114,392.4571,0.8929,2.4634,24.9677,23.7751,5.2439,2.7550,29.3330,27.5581,5.9211,0.7071,2.2825,1.7854,0.5831,0.0575,225
ihdp,0.1000,7,530.4400,495.1350,485.6400,522.6750,141.8500,100.2500,85.5000,126.8000,8.0000,5.8000,1.2500,0.2000,66.3050,85.3681,388.5120,2613.3750,0.0000,1.6800,25.1802,23.8673,25.9599,1.9046,29.6292,27.6433,29.8154,0.7071,2.9933,1.0897,0.4000,0.0000,225
