datasets,cost,pref_idx,reward_cate,reward_lagrange,reward_constraint,reward_linear,welfare_cate,welfare_lagrange,welfare_constraint,welfare_linear,harm_cate,harm_lagrange,harm_constraint,harm_linear,rr_cate,rr_lagrange,rr_constraint,rr_linear,epsilon,std_cate_reward,std_lagrange_reward,std_constraint_reward,std_linear_reward,std_cate_welfare,std_lagrange_welfare,std_constraint_welfare,std_linear_welfare,std_cate_harm,std_lagrange_harm,std_constraint_harm,std_linear_harm,std_epsilon,panelty
jobs,0.0000,0,1864.1500,1831.3500,1845.0500,1864.5000,600.1500,567.3500,581.0500,600.5000,89.4500,34.9500,46.7500,88.1500,20.8401,52.3991,39.4663,21.1514,79.6029,5.4980,12.8502,11.6982,5.2106,5.4980,12.8502,11.6982,5.2106,2.5783,4.2600,6.9561,2.7069,0.2547,20
jobs,0.0000,1,1864.6000,1829.5500,1830.8000,1884.5500,600.6000,565.5500,566.8000,620.5500,87.9500,38.2500,45.2500,78.8500,21.2007,47.8314,40.4597,23.9004,71.6977,4.2237,15.6731,60.9414,3.6259,4.2237,15.6731,60.9414,3.6259,2.0851,5.0683,5.5215,1.9307,0.1682,20
jobs,0.0000,2,1863.2000,1822.8000,1842.5500,1892.8000,599.2000,558.8000,578.5500,628.8000,89.3500,36.1500,40.9500,66.3500,20.8528,50.4232,44.9951,28.5275,65.2489,6.9469,15.5968,13.0517,5.0458,6.9469,15.5968,13.0517,5.0458,2.9711,4.9323,4.7904,2.7069,0.1454,20
jobs,0.0000,3,1862.5000,1833.0500,1818.3500,1883.1500,598.5000,569.0500,554.3500,619.1500,88.6000,35.7000,38.9500,56.6500,21.0214,51.3459,46.6842,33.2418,56.8433,4.8218,16.1570,59.8158,2.9542,4.8218,16.1570,59.8158,2.9542,1.9849,3.4220,6.2006,1.7965,0.1502,20
jobs,0.0000,4,1863.0000,1814.9000,1814.3000,1855.9500,599.0000,550.9000,550.3000,591.9500,89.7500,35.8000,34.8000,37.9500,20.7577,50.6955,52.1351,48.9051,46.9873,4.1231,62.4571,59.5282,68.3231,4.1231,62.4571,59.5282,68.3231,2.7906,5.3066,4.8125,3.9809,0.1650,20
jobs,0.0000,5,1867.1000,1825.5500,1803.0500,1857.2500,603.1000,561.5500,539.0500,593.2500,87.6000,35.4000,31.1000,34.4000,21.3139,51.5692,57.9759,53.9898,33.4445,4.3920,19.6099,56.8968,6.1553,4.3920,19.6099,56.8968,6.1553,2.2226,3.7068,4.8672,1.8000,0.0929,20
jobs,0.0000,6,1864.6000,1828.4500,1768.0500,1833.4000,600.6000,564.4500,504.0500,569.4000,88.6500,36.1000,23.1500,24.9500,21.0333,50.6496,76.3737,73.4830,19.6425,3.8131,15.0946,62.7339,15.8348,3.8131,15.0946,62.7339,15.8348,1.7965,4.5924,3.6507,2.5588,0.0544,20
jobs,0.0000,7,1864.8500,1829.2000,1673.2500,1427.6500,600.8500,565.2000,409.2500,163.6500,88.8000,37.3500,11.8000,4.0000,21.0006,48.9746,141.8008,356.9125,0.0000,3.8894,18.7179,74.8912,35.7621,3.8894,18.7179,74.8912,35.7621,2.7129,5.1795,3.2650,3.5777,0.0000,20
jobs,0.0500,0,1782.1800,1751.5275,1749.7250,1783.6200,583.8500,538.8500,538.8500,585.3000,75.0000,33.3500,40.3500,74.6500,23.7624,52.5196,43.3637,23.8931,70.9844,3.7161,12.6152,55.1293,3.7207,3.7984,14.3223,61.0477,3.6483,2.0000,4.3963,6.8940,2.7069,0.1651,20
jobs,0.0500,1,1780.8925,1756.5950,1754.5475,1790.3150,582.5500,544.9000,543.5500,589.9500,75.9500,35.4000,38.0000,65.2500,23.4482,49.6213,46.1723,27.4378,64.4602,4.3130,14.4556,54.3879,4.0373,4.3414,16.6129,59.8260,4.1167,2.6921,5.3981,5.2249,2.4469,0.1676,20
jobs,0.0500,2,1783.3725,1756.9250,1746.8150,1802.1250,585.0000,545.3500,534.8000,599.6000,74.5500,35.2500,37.2500,55.3000,23.9218,49.8418,46.8944,32.5882,56.1432,4.0935,15.6588,56.9834,3.7659,4.1473,17.5393,62.2299,3.9799,2.5976,4.3460,4.0481,2.3043,0.1139,20
jobs,0.0500,3,1782.7350,1758.3200,1742.3400,1805.5500,584.3000,546.4500,529.2000,600.7500,74.5500,34.6000,33.8500,46.9500,23.9133,50.8185,51.4724,38.4569,50.3920,5.1395,10.9390,53.6657,6.3723,5.2640,12.1510,58.6793,6.9129,1.9358,5.0931,4.4864,3.5704,0.0918,20
jobs,0.0500,4,1782.2800,1755.7500,1739.6325,1803.9125,583.9000,543.7000,525.3000,595.9000,74.8500,34.7500,31.4000,36.1000,23.8114,50.5252,55.4023,49.9699,38.7333,4.0944,15.2774,54.0451,5.9807,4.1219,17.3121,58.8363,6.4954,3.1028,4.8670,4.2237,0.9950,0.0758,20
jobs,0.0500,5,1781.1700,1760.8075,1718.9200,1786.8500,582.8500,548.8500,501.5000,576.6000,75.7000,33.7000,27.4500,33.4000,23.5293,52.2495,62.6200,53.4985,28.8408,5.2806,14.8532,67.7040,13.3439,5.3598,16.4203,74.1084,14.5479,2.6096,4.2202,4.5986,2.7459,0.0650,20
