datasets,cost,pref_idx,reward_cate,reward_lagrange,reward_constraint,reward_linear,welfare_cate,welfare_lagrange,welfare_constraint,welfare_linear,harm_cate,harm_lagrange,harm_constraint,harm_linear,rr_cate,rr_lagrange,rr_constraint,rr_linear,epsilon,std_cate_reward,std_lagrange_reward,std_constraint_reward,std_linear_reward,std_cate_welfare,std_lagrange_welfare,std_constraint_welfare,std_linear_welfare,std_cate_harm,std_lagrange_harm,std_constraint_harm,std_linear_harm,std_epsilon,panelty
jobs,0.0000,0,1862.7000,1837.1500,1869.3500,1847.8500,598.7000,573.1500,605.3500,583.8500,88.8500,45.0000,63.1000,87.3500,20.9645,40.8256,29.6252,21.1546,79.5230,4.0386,68.8123,5.8930,66.6095,4.0386,68.8123,5.8930,66.6095,3.1189,3.4785,5.6027,8.4869,0.2103,20
jobs,0.0000,1,1864.4500,1836.8500,1847.6500,1853.8000,600.4500,572.8500,583.6500,589.8000,88.2500,45.2500,57.4000,76.1500,21.1269,40.5934,32.1890,24.3441,71.7028,3.9683,64.9502,63.3058,70.0996,3.9683,64.9502,63.3058,70.0996,2.0946,5.2619,6.4684,7.6503,0.1777,20
jobs,0.0000,2,1864.6500,1839.6500,1847.3000,1854.6500,600.6500,575.6500,583.3000,590.6500,88.6500,45.4000,54.8000,65.1500,21.0338,40.5209,33.7099,28.4674,65.2019,5.2371,64.6439,66.9299,64.9933,5.2371,64.6439,66.9299,64.9933,2.7798,5.3796,3.4293,8.7079,0.1688,20
jobs,0.0000,3,1864.4000,1837.1500,1839.4500,1853.4000,600.4000,573.1500,575.4500,589.4000,88.6000,46.6500,49.7000,55.9000,21.0429,39.3816,37.0111,33.1556,56.8614,3.8781,62.3500,70.1124,60.5718,3.8781,62.3500,70.1124,60.5718,1.9849,6.0603,5.4415,7.3885,0.0925,20
jobs,0.0000,4,1864.4000,1836.5500,1835.8500,1846.7000,600.4000,572.5500,571.8500,582.7000,88.8500,46.8500,44.8000,46.7500,20.9837,39.2006,40.9788,39.5016,46.9847,4.8621,59.6955,67.7844,64.0789,4.8621,59.6955,67.7844,64.0789,2.5937,5.8161,3.9192,5.3840,0.0957,20
jobs,0.0000,5,1864.4000,1826.6500,1841.3000,1849.1500,600.4000,562.6500,577.3000,585.1500,88.2000,45.6500,36.2000,40.3000,21.1383,40.0142,50.8646,45.8846,33.4327,3.7202,83.4699,8.1062,4.1746,3.7202,83.4699,8.1062,4.1746,2.2935,4.6073,3.4147,1.7349,0.1047,20
jobs,0.0000,6,1862.9500,1836.6500,1799.3500,1801.2000,598.9500,572.6500,535.3500,537.2000,89.6000,45.8500,28.7000,24.5500,20.7919,40.0578,62.6951,73.3686,19.6499,5.6434,61.5275,57.5815,64.7600,5.6434,61.5275,57.5815,64.7600,2.7276,6.6504,3.2265,3.3388,0.0438,20
jobs,0.0000,7,1863.2500,1823.9500,1695.7500,1289.9000,599.2500,559.9500,431.7500,25.9000,88.3500,46.0500,9.8000,0.9500,21.0894,39.6080,173.0357,1357.7895,0.0000,3.2230,85.6659,54.5783,6.0572,3.2230,85.6659,54.5783,6.0572,2.7436,4.6311,1.8601,0.8646,0.0000,20
jobs,0.0500,0,1781.7900,1755.6900,1784.1025,1782.9025,583.3500,546.6500,580.3500,584.5000,75.0000,43.8000,54.4000,74.2500,23.7572,40.0842,32.7960,24.0122,71.0020,4.4193,74.8147,5.7749,3.8506,4.4303,82.0178,6.5975,3.9051,2.7749,5.0359,4.1280,2.0706,0.1818,20
jobs,0.0500,1,1783.1475,1754.0600,1784.9850,1785.6725,584.7500,544.7000,580.6500,585.5500,74.8000,43.6000,51.6500,66.7500,23.8389,40.2307,34.5592,26.7516,64.4498,4.2874,79.5178,7.9471,3.5662,4.3918,87.3740,8.8729,3.6259,2.3152,5.3235,5.3411,1.7571,0.1668,20
jobs,0.0500,2,1782.0325,1765.1625,1763.8875,1775.0550,583.7000,557.1000,556.5000,571.2000,75.2500,44.4500,47.9000,56.0500,23.6815,39.7112,36.8244,31.6691,56.0402,3.9937,55.8805,56.1566,59.4536,4.0509,61.0040,61.3861,66.0345,2.0946,4.2834,5.2240,7.3653,0.1565,20
